district_name;population;guests_non_residents;nights_non_residents;unemployment;foreigners;people_university
Praha 1;28921;2791475;7023738;2.25;8277;8057
Praha 10;119110;221734;523750;2.43;28455;32506
Praha 11;78410;143990;301749;2.18;17480;16361
Praha 12;59999;0;0;2.44;11203;13434
Praha 13;66604;12732;29449;1.95;19028;17211
Praha 14;50525;7047;15359;3.03;13928;9953
Praha 15;35991;14914;33871;2.06;7433;8515
Praha 16;8766;0;0;1.87;1285;1903
Praha 17;24065;0;0;2.32;4360;5070
Praha 18;23728;3303;9394;2.62;7466;5321
Praha 19;7909;0;0;3.09;1251;1702
Praha 2;51388;684416;1746611;2.91;18589;15986
Praha 20;17535;5668;12042;2.49;4021;3277
Praha 21;10988;0;0;2.38;1360;2510
Praha 22;15257;2431;5573;1.9;4127;3487
Praha 3;82149;343033;902853;2.8;28626;24345
Praha 4;135712;349591;795612;2.37;31866;37324
Praha 5;97109;464879;1054410;2.07;28449;29201
Praha 6;108577;339288;777315;1.96;22413;36846
Praha 7;47735;161500;357367;2.67;13083;15522
Praha 8;112478;504934;1063772;3.01;26779;28652
Praha 9;68919;354312;794953;2.8;23129;17714
Praha-Běchovice;2670;0;0;2.21;755;430
Praha-Benice;765;0;0;1.65;126;231
Praha-Březiněves;2164;6209;12392;1.97;682;495
Praha-Čakovice;12589;0;0;2.64;2285;2691
Praha-Ďáblice;4270;0;0;1.93;742;905
Praha-Dolní Chabry;5641;0;0;2.28;1096;1532
Praha-Dolní Měcholupy;4418;0;0;1.85;1498;1137
Praha-Dolní Počernice;2970;6442;13661;2.4;392;684
Praha-Dubeč;4168;0;0;2.3;471;901
Praha-Klánovice;3854;0;0;2.66;506;981
Praha-Koloděje;1738;0;0;2.31;217;393
Praha-Kolovraty;4069;0;0;2.03;360;1073
Praha-Královice;467;0;0;1.04;74;82
Praha-Křeslice;1150;0;0;1.4;123;408
Praha-Kunratice;10045;31638;63397;1.51;2897;3026
Praha-Libuš;10894;2605;5550;2.14;3416;2148
Praha-Lipence;3203;0;0;1.72;317;649
Praha-Lochkov;837;0;0;1.69;68;184
Praha-Lysolaje;1639;0;0;1.85;360;551
Praha-Nebušice;2872;0;0;1.2;948;823
Praha-Nedvězí;381;0;0;2.95;83;53
Praha-Petrovice;6040;0;0;2;882;1321
Praha-Přední Kopanina;698;0;0;1.77;161;142
Praha-Řeporyje;6288;0;0;1.97;1837;1764
Praha-Satalice;2715;0;0;2.21;621;576
Praha-Slivenec;3981;0;0;1.89;459;1061
Praha-Suchdol;7058;4573;18412;1.49;1754;2354
Praha-Šeberov;3322;0;0;2.02;643;877
Praha-Štěrboholy;2689;0;0;1.68;802;616
Praha-Troja;1603;12160;30732;2.1;367;548
Praha-Újezd;3893;0;0;2.2;801;1087
Praha-Velká Chuchle;2867;0;0;1.75;533;738
Praha-Vinoř;4604;0;0;3.15;656;1098
Praha-Zbraslav;10575;1136;2515;1.63;1771;2541
Praha-Zličín;8868;0;0;2.04;3012;2691
